Event #0 ----------------------
  t1[ns]  u1[mV]  t2[ns] u2[mV]
  0.000  -496.9   0.000  -472.3
  0.195  -475.2   0.195  -450.7
  0.391  -443.7   0.391  -410.5
  0.586  -416.9   0.586  -375.0
  0.781  -363.8   0.781  -315.9
  0.977  -331.1   0.977  -276.7
  1.172  -259.0   1.172  -203.9
  1.367  -209.2   1.367  -147.6
  1.562  -144.5   1.562   -80.7
  1.758   -94.1   1.758   -38.1
  1.953   -11.3   1.953    45.1
  2.148    35.3   2.148    94.1
  2.344   117.7   2.344   173.4
  2.539   162.2   2.539   210.8
  2.734   222.1   2.734   269.8
  2.930   267.3   2.930   307.4
  3.125   312.7   3.125   349.0
  3.320   350.5   3.320   375.6
  3.516   399.7   3.516   421.4
  3.711   422.1   3.711   440.7
  3.906   450.3   3.906   467.9
  4.102   464.3   4.102   474.1
  4.297   480.1   4.297   481.3
  4.492   483.5   4.492   481.9
  4.688   482.9   4.688   473.0
  4.883   479.3   4.883   465.3
  5.078   467.9   5.078   443.6
  5.273   446.8   5.273   418.8
  5.469   413.3   5.469   378.3
  5.664   389.2   5.664   353.8
  5.859   342.0   5.859   291.5
  6.055   303.8   6.055   256.6
  6.250   234.3   6.250   175.5
  6.445   198.0   6.445   140.7
  6.641   126.8   6.641    55.7
  6.836    66.6   6.836     5.5
  7.031    -5.0   7.031   -65.1
  7.227   -54.3   7.227  -113.5
  7.422  -130.3   7.422  -187.1
  7.617  -181.7   7.617  -230.3
  7.812  -245.8   7.812  -297.5
  8.008  -281.2   8.008  -325.2
  8.203  -351.7   8.203  -384.9
  8.398  -376.8   8.398  -411.8
  8.594  -427.4   8.594  -455.1
  8.789  -446.0   8.789  -466.6
  8.984  -477.0   8.984  -489.7
  9.180  -489.0   9.180  -495.4
  9.375  -499.9   9.375  -499.9
  9.570  -499.9   9.570  -499.0
  9.766  -499.9   9.766  -487.2
  9.961  -493.2   9.961  -469.7
 10.156  -467.0  10.156  -438.4
 10.352  -446.1  10.352  -412.4
 10.547  -406.9  10.547  -369.0
 10.742  -370.0  10.742  -323.4
 10.938  -315.3  10.938  -261.4
 11.133  -269.1  11.133  -211.3
 11.328  -198.6  11.328  -140.0
 11.523  -146.4  11.523   -86.3
 11.719   -73.8  11.719   -11.0
 11.914   -26.6  11.914    30.5
 12.109    50.4  12.109   105.2
 12.305    97.3  12.305   149.2
 12.500   175.6  12.500   223.0
 12.695   207.1  12.695   258.2
 12.891   273.6  12.891   314.6
 13.086   318.9  13.086   352.4
 13.281   362.5  13.281   390.9
 13.477   397.2  13.477   417.6
 13.672   426.1  13.672   447.4
 13.867   446.8  13.867   463.1
 14.062   468.5  14.062   476.9
 14.258   477.5  14.258   481.7
 14.453   486.5  14.453   480.0
 14.648   485.1  14.648   475.8
 14.844   477.4  14.844   459.1
 15.039   465.9  15.039   444.8
 15.234   445.7  15.234   415.6
 15.430   418.1  15.430   385.5
 15.625   375.0  15.625   331.6
 15.820   344.9  15.820   301.4
 16.016   287.4  16.016   233.2
 16.211   242.1  16.211   186.4
 16.406   179.8  16.406   112.8
 16.602   131.4  16.602    73.9
 16.797    52.3  16.797    -5.4
 16.992    -5.8  16.992   -56.1
 17.188   -65.9  17.188  -128.3
 17.383  -125.8  17.383  -178.3
 17.578  -196.1  17.578  -252.9
 17.773  -239.7  17.773  -287.1
 17.969  -298.6  17.969  -345.2
 18.164  -338.3  18.164  -376.1
 18.359  -389.5  18.359  -424.2
 18.555  -423.3  18.555  -444.7
 18.750  -456.0  18.750  -476.6
 18.945  -474.3  18.945  -485.7
 19.141  -491.5  19.141  -499.9
 19.336  -499.9  19.336  -499.9
 19.531  -499.9  19.531  -499.9
 19.727  -499.9  19.727  -490.8
 19.922  -492.0  19.922  -472.3
 20.117  -474.2  20.117  -444.8
 20.312  -442.1  20.312  -408.9
 20.508  -414.2  20.508  -375.5
 20.703  -362.9  20.703  -316.5
 20.898  -322.9  20.898  -269.8
 21.094  -258.5  21.094  -204.5
 21.289  -210.7  21.289  -153.6
 21.484  -138.1  21.484   -81.6
 21.680   -83.2  21.680   -19.7
 21.875    -8.7  21.875    47.7
 22.070    36.8  22.070    92.3
 22.266   110.4  22.266   159.3
 22.461   160.0  22.461   209.1
 22.656   217.5  22.656   267.6
 22.852   257.6  22.852   297.5
 23.047   321.7  23.047   360.5
 23.242   350.5  23.242   383.7
 23.438   396.6  23.438   424.0
 23.633   417.3  23.633   438.8
 23.828   451.2  23.828   464.3
 24.023   466.5  24.023   473.9
 24.219   481.2  24.219   480.7
 24.414   482.2  24.414   480.6
 24.609   484.3  24.609   475.7
 24.805   481.2  24.805   466.7
 25.000   465.8  25.000   442.0
 25.195   451.4  25.195   425.0
 25.391   420.7  25.391   382.4
 25.586   394.5  25.586   356.0
 25.781   342.6  25.781   292.2
 25.977   308.9  25.977   263.9
 26.172   248.2  26.172   192.8
 26.367   200.1  26.367   146.3
 26.562   128.7  26.562    63.8
 26.758    84.4  26.758    22.6
 26.953     4.7  26.953   -59.2
 27.148   -45.0  27.148  -106.3
 27.344  -112.9  27.344  -172.4
 27.539  -164.8  27.539  -218.8
 27.734  -233.8  27.734  -285.7
 27.930  -276.9  27.930  -324.6
 28.125  -330.8  28.125  -374.8
 28.320  -370.1  28.320  -403.2
 28.516  -417.3  28.516  -448.9
 28.711  -438.1  28.711  -465.3
 28.906  -472.6  28.906  -491.5
 29.102  -489.4  29.102  -497.9
 29.297  -499.9  29.297  -499.9
 29.492  -499.9  29.492  -499.9
 29.688  -499.9  29.688  -488.8
 29.883  -495.7  29.883  -476.7
 30.078  -472.9  30.078  -447.4
 30.273  -450.8  30.273  -412.9
 30.469  -409.2  30.469  -367.4
 30.664  -381.8  30.664  -334.6
 30.859  -322.7  30.859  -273.1
 31.055  -279.3  31.055  -222.5
 31.250  -212.8  31.250  -155.9
 31.445  -168.4  31.445  -107.2
 31.641   -80.5  31.641   -21.7
 31.836   -31.7  31.836    28.1
 32.031    32.7  32.031    87.1
 32.227    72.3  32.227   131.6
 32.422   154.1  32.422   208.8
 32.617   201.5  32.617   252.1
 32.812   258.1  32.812   302.7
 33.008   298.6  33.008   334.9
 33.203   354.5  33.203   386.1
 33.398   386.5  33.398   411.1
 33.594   418.3  33.594   442.6
 33.789   436.5  33.789   454.3
 33.984   462.6  33.984   474.7
 34.180   474.3  34.180   482.0
 34.375   482.6  34.375   482.4
 34.570   486.8  34.570   481.0
 34.766   480.9  34.766   466.8
 34.961   471.6  34.961   453.2
 35.156   449.5  35.156   420.7
 35.352   429.6  35.352   398.0
 35.547   390.6  35.547   346.5
 35.742   351.9  35.742   307.9
 35.938   304.4  35.938   251.0
 36.133   272.1  36.133   222.3
 36.328   203.6  36.328   146.5
 36.523   150.8  36.523    93.3
 36.719    81.2  36.719    14.2
 36.914    31.6  36.914   -25.8
 37.109   -50.4  37.109  -108.6
 37.305   -91.7  37.305  -147.3
 37.500  -168.0  37.500  -219.4
 37.695  -210.3  37.695  -255.5
 37.891  -278.1  37.891  -323.8
 38.086  -316.6  38.086  -354.4
 38.281  -372.5  38.281  -408.3
 38.477  -402.1  38.477  -431.0
 38.672  -435.1  38.672  -462.9
 38.867  -467.2  38.867  -480.8
 39.062  -489.3  39.062  -499.9
 39.258  -496.4  39.258  -499.9
 39.453  -499.9  39.453  -499.9
 39.648  -499.9  39.648  -497.7
 39.844  -498.5  39.844  -479.4
 40.039  -486.2  40.039  -459.9
 40.234  -456.2  40.234  -421.4
 40.430  -429.9  40.430  -390.8
 40.625  -381.5  40.625  -335.0
 40.820  -345.9  40.820  -294.9
 41.016  -286.3  41.016  -231.4
 41.211  -240.3  41.211  -184.5
 41.406  -170.4  41.406  -113.2
 41.602  -121.2  41.602   -58.5
 41.797   -49.6  41.797    11.6
 41.992     9.9  41.992    66.1
 42.188    80.7  42.188   133.5
 42.383   120.8  42.383   173.6
 42.578   191.7  42.578   237.6
 42.773   246.0  42.773   293.4
 42.969   300.7  42.969   332.8
 43.164   333.6  43.164   365.5
 43.359   375.7  43.359   404.2
 43.555   410.9  43.555   429.3
 43.750   439.0  43.750   455.7
 43.945   453.2  43.945   467.6
 44.141   473.7  44.141   480.3
 44.336   481.4  44.336   483.3
 44.531   486.9  44.531   479.7
 44.727   484.2  44.727   474.4
 44.922   472.0  44.922   452.2
 45.117   458.0  45.117   433.3
 45.312   429.6  45.312   396.2
 45.508   405.8  45.508   369.8
 45.703   357.4  45.703   312.9
 45.898   320.8  45.898   271.4
 46.094   268.8  46.094   212.9
 46.289   217.4  46.289   159.1
 46.484   161.0  46.484    97.2
 46.680    97.5  46.680    38.2
 46.875    23.8  46.875   -41.6
 47.070   -23.4  47.070   -84.5
 47.266  -101.0  47.266  -154.6
 47.461  -150.6  47.461  -201.3
 47.656  -219.2  47.656  -265.1
 47.852  -258.9  47.852  -307.9
 48.047  -324.8  48.047  -369.6
 48.242  -364.2  48.242  -400.5
 48.438  -407.1  48.438  -440.7
 48.633  -434.1  48.633  -457.0
 48.828  -467.6  48.828  -487.1
 49.023  -484.4  49.023  -495.1
 49.219  -496.9  49.219  -499.9
 49.414  -499.9  49.414  -499.9
 49.609  -499.9  49.609  -497.7
 49.805  -499.9  49.805  -485.2
 50.000  -485.5  50.000  -459.8
 50.195  -467.7  50.195  -437.8
 50.391  -431.0  50.391  -393.4
 50.586  -397.5  50.586  -353.5
 50.781  -346.9  50.781  -296.1
 50.977  -310.0  50.977  -262.6
 51.172  -246.3  51.172  -190.2
